[2022/7/28 - 6:14:33] Khac_Diepa (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/28 - 6:17:56] Tommy_William (ID: 1 | SQL ID: 494 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 6:18:08] Tommy_William (ID: 1 | SQL ID: 494 | Level: 1 | IP: 58.187.21.244) has been kicked/banned.
[2022/7/28 - 6:19:57] Tommy_William (ID: 1 | SQL ID: 494 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 6:20:03] GM01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has timed out.
[2022/7/28 - 6:35:08] Tommy_William (ID: 1 | SQL ID: 494 | Level: 1 | IP: 58.187.21.244) has timed out.
[2022/7/28 - 7:14:08] Khac_Diepa (ID: 0 | SQL ID: 496 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/28 - 7:15:25] khac_diep (ID: 0 | SQL ID: 496 | Level: 1 | IP: 117.0.24.212) has timed out.
[2022/7/28 - 7:16:37] Khac_Diepa (ID: 0 | SQL ID: 497 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/28 - 8:09:17] Khac_Diep (ID: 0 | SQL ID: 496 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/28 - 8:09:49] Viet_Cong (ID: 1 | SQL ID: 498 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 8:34:01] Khac_Diep (ID: 0 | SQL ID: 496 | Level: 99 | IP: 117.0.24.212) has timed out.
[2022/7/28 - 8:34:19] Khac_Diep (ID: 0 | SQL ID: 496 | Level: 99 | IP: 117.0.24.212) has logged in.
[2022/7/28 - 8:35:43] Khac_Diep (ID: 0 | SQL ID: 496 | Level: 99 | IP: 117.0.24.212) has timed out.
[2022/7/28 - 8:44:57] Viet_Cong (ID: 1 | SQL ID: 498 | Level: 1 | IP: 58.187.21.244) has disconnected.
[2022/7/28 - 8:55:27] Viet_Cong (ID: 0 | SQL ID: 498 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 8:55:36] Viet_Cong (ID: 0 | SQL ID: 498 | Level: 1 | IP: 58.187.21.244) has disconnected.
[2022/7/28 - 9:58:34] Thai_Vinh (ID: 0 | SQL ID: 499 | Level: 1 | IP: 219.71.122.70) has logged in.
[2022/7/28 - 9:59:19] Thai_Vinh (ID: 0 | SQL ID: 499 | Level: 1 | IP: 219.71.122.70) has timed out.
[2022/7/28 - 9:59:32] Thai_Vinh (ID: 0 | SQL ID: 499 | Level: 1 | IP: 219.71.122.70) has logged in.
[2022/7/28 - 9:59:45] Thai_Vinh (ID: 0 | SQL ID: 499 | Level: 1 | IP: 219.71.122.70) has timed out.
[2022/7/28 - 10:00:02] Tommy_William (ID: 0 | SQL ID: 494 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 10:00:59] Vinh_Thai (ID: 1 | SQL ID: 500 | Level: 1 | IP: 219.71.122.70) has logged in.
[2022/7/28 - 10:01:26] Vinh_Thai (ID: 1 | SQL ID: 500 | Level: 1 | IP: 219.71.122.70) has timed out.
[2022/7/28 - 10:01:45] Vinh_Thai (ID: 1 | SQL ID: 500 | Level: 1 | IP: 219.71.122.70) has logged in.
[2022/7/28 - 10:01:58] Vinh_Thai (ID: 1 | SQL ID: 500 | Level: 1 | IP: 219.71.122.70) has timed out.
[2022/7/28 - 10:05:05] Thai_Vinh (ID: 1 | SQL ID: 499 | Level: 1 | IP: 219.71.122.70) has logged in.
[2022/7/28 - 10:05:19] Thai_Vinh (ID: 1 | SQL ID: 499 | Level: 1 | IP: 219.71.122.70) has timed out.
[2022/7/28 - 10:06:39] Tommy_William (ID: 0 | SQL ID: 494 | Level: 1 | IP: 58.187.21.244) has timed out.
[2022/7/28 - 10:07:49] Tommy_Williame (ID: 0 | SQL ID: 501 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 10:09:59] Call_Be (ID: 0 | SQL ID: 501 | Level: 1 | IP: 58.187.21.244) has timed out.
[2022/7/28 - 10:11:09] Tommy_Williame (ID: 0 | SQL ID: 502 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 10:17:20] Tommy_Williame (ID: 0 | SQL ID: 502 | Level: 1 | IP: 58.187.21.244) has timed out.
[2022/7/28 - 10:29:27] call_be (ID: 0 | SQL ID: 501 | Level: 1 | IP: 219.71.122.70) has logged in.
[2022/7/28 - 10:29:40] call_be (ID: 0 | SQL ID: 501 | Level: 1 | IP: 219.71.122.70) has timed out.
[2022/7/28 - 12:02:55] Diep_Khac (ID: 0 | SQL ID: 503 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/28 - 12:03:13] Tommy_Williame (ID: 1 | SQL ID: 502 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 12:11:46] Diep_Khac (ID: 0 | SQL ID: 503 | Level: 1 | IP: 117.0.24.212) has timed out.
[2022/7/28 - 12:12:41] Tommy_Williame (ID: 1 | SQL ID: 502 | Level: 1 | IP: 58.187.21.244) has timed out.
[2022/7/28 - 12:18:25] Tommy_Williame (ID: 0 | SQL ID: 502 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 12:19:30] Tommy_Williame (ID: 0 | SQL ID: 502 | Level: 1 | IP: 58.187.21.244) has timed out.
[2022/7/28 - 12:19:55] Tommy_Williame (ID: 0 | SQL ID: 502 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 12:31:34] NguyenKhoi_Rose (ID: 1 | SQL ID: 504 | Level: 1 | IP: 27.68.157.44) has logged in.
[2022/7/28 - 12:31:46] Tommy_Williame (ID: 0 | SQL ID: 502 | Level: 1 | IP: 58.187.21.244) has timed out.
[2022/7/28 - 12:31:50] Manas_Ciel (ID: 2 | SQL ID: 505 | Level: 1 | IP: 14.179.17.147) has logged in.
[2022/7/28 - 12:31:55] Kido_Tino (ID: 0 | SQL ID: 506 | Level: 1 | IP: 14.225.192.8) has logged in.
[2022/7/28 - 12:32:51] Alex_Piley (ID: 3 | SQL ID: 507 | Level: 1 | IP: 68.183.234.217) has logged in.
[2022/7/28 - 12:32:54] Manas_Ciel (ID: 2 | SQL ID: 505 | Level: 1 | IP: 14.179.17.147) has timed out.
